sigma_a_Yb:CaF2_x	sigma_a_Yb:CaF2_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.29050e+02	3.57554e-24	8.29050e+02	2.27628e-23	8.29050e+02	6.60671e-28	8.29050e+02	6.60671e-28	8.29050e+02	3.57554e-24
8.29400e+02	2.98457e-24	8.29400e+02	2.26854e-23	8.29400e+02	5.65104e-28	8.29400e+02	5.65104e-28	8.29400e+02	2.98457e-24
8.29750e+02	2.86909e-24	8.29750e+02	2.06196e-23	8.29750e+02	5.56655e-28	8.29750e+02	5.56655e-28	8.29750e+02	2.86909e-24
8.30100e+02	3.11434e-24	8.30100e+02	1.88247e-23	8.30100e+02	6.19147e-28	8.30100e+02	6.19147e-28	8.30100e+02	3.11434e-24
8.30450e+02	4.20681e-24	8.30450e+02	1.92836e-23	8.30450e+02	8.56951e-28	8.30450e+02	8.56951e-28	8.30450e+02	4.20681e-24
8.30800e+02	5.94839e-24	8.30800e+02	2.13387e-23	8.30800e+02	1.24157e-27	8.30800e+02	1.24157e-27	8.30800e+02	5.94839e-24
8.31150e+02	9.43121e-24	8.31150e+02	2.26683e-23	8.31150e+02	2.01696e-27	8.31150e+02	2.01696e-27	8.31150e+02	9.43121e-24
8.31500e+02	9.77215e-24	8.31500e+02	2.22449e-23	8.31500e+02	2.14126e-27	8.31500e+02	2.14126e-27	8.31500e+02	9.77215e-24
8.31850e+02	1.28544e-23	8.31850e+02	2.14422e-23	8.31850e+02	2.88582e-27	8.31850e+02	2.88582e-27	8.31850e+02	1.28544e-23
8.32200e+02	1.66892e-23	8.32200e+02	2.20029e-23	8.32200e+02	3.83872e-27	8.32200e+02	3.83872e-27	8.32200e+02	1.66892e-23
8.32550e+02	1.80096e-23	8.32550e+02	2.36974e-23	8.32550e+02	4.24402e-27	8.32550e+02	4.24402e-27	8.32550e+02	1.80096e-23
8.32900e+02	1.85099e-23	8.32900e+02	2.47611e-23	8.32900e+02	4.46882e-27	8.32900e+02	4.46882e-27	8.32900e+02	1.85099e-23
8.33250e+02	2.22361e-23	8.33250e+02	2.43574e-23	8.33250e+02	5.49987e-27	8.33250e+02	5.49987e-27	8.33250e+02	2.22361e-23
8.33600e+02	2.42339e-23	8.33600e+02	2.36306e-23	8.33600e+02	6.14064e-27	8.33600e+02	6.14064e-27	8.33600e+02	2.42339e-23
8.33950e+02	2.61399e-23	8.33950e+02	2.39499e-23	8.33950e+02	6.78551e-27	8.33950e+02	6.78551e-27	8.33950e+02	2.61399e-23
8.34300e+02	2.75977e-23	8.34300e+02	2.48651e-23	8.34300e+02	7.33889e-27	8.34300e+02	7.33889e-27	8.34300e+02	2.75977e-23
8.34650e+02	2.41732e-23	8.34650e+02	2.46901e-23	8.34650e+02	6.58509e-27	8.34650e+02	6.58509e-27	8.34650e+02	2.41732e-23
8.35000e+02	2.34190e-23	8.35000e+02	2.29635e-23	8.35000e+02	6.53517e-27	8.35000e+02	6.53517e-27	8.35000e+02	2.34190e-23
8.35350e+02	2.15444e-23	8.35350e+02	2.13466e-23	8.35350e+02	6.15853e-27	8.35350e+02	6.15853e-27	8.35350e+02	2.15444e-23
8.35700e+02	1.52033e-23	8.35700e+02	2.15827e-23	8.35700e+02	4.45168e-27	8.35700e+02	4.45168e-27	8.35700e+02	1.52033e-23
8.36050e+02	1.08503e-23	8.36050e+02	2.32082e-23	8.36050e+02	3.25433e-27	8.36050e+02	3.25433e-27	8.36050e+02	1.08503e-23
