X0_0	Y0_0	X0_1	Y0_1	X0_2	Y0_2	X0_3	Y0_3	X0_4	Y0_4	X0_5	Y0_5
		8.18550e+02	7.56057e-24	8.18550e+02	5.62003e-26	8.18550e+02	6.65101e-28	8.18550e+02	6.65101e-28	8.18550e+02	7.56057e-24
		8.18900e+02	7.37450e-24	8.18900e+02	1.07772e-25	8.18900e+02	6.65185e-28	8.18900e+02	6.65185e-28	8.18900e+02	7.37450e-24
		8.19250e+02	7.44355e-24	8.19250e+02	5.00026e-26	8.19250e+02	6.88427e-28	8.19250e+02	6.88427e-28	8.19250e+02	7.44355e-24
		8.19600e+02	7.38118e-24	8.19600e+02	-4.22649e-26	8.19600e+02	6.99941e-28	8.19600e+02	6.99941e-28	8.19600e+02	7.38118e-24
		8.19950e+02	8.38076e-24	8.19950e+02	-4.82275e-26	8.19950e+02	8.14832e-28	8.19950e+02	8.14832e-28	8.19950e+02	8.38076e-24
		8.20300e+02	9.41967e-24	8.20300e+02	3.55060e-26	8.20300e+02	9.38988e-28	8.20300e+02	9.38988e-28	8.20300e+02	9.41967e-24
		8.20650e+02	9.52146e-24	8.20650e+02	9.27955e-26	8.20650e+02	9.73103e-28	8.20650e+02	9.73103e-28	8.20650e+02	9.52146e-24
		8.21000e+02	9.80515e-24	8.21000e+02	4.82639e-26	8.21000e+02	1.02738e-27	8.21000e+02	1.02738e-27	8.21000e+02	9.80515e-24
		8.21350e+02	9.09890e-24	8.21350e+02	-3.11175e-26	8.21350e+02	9.77412e-28	8.21350e+02	9.77412e-28	8.21350e+02	9.09890e-24
		8.21700e+02	8.37625e-24	8.21700e+02	-3.14925e-26	8.21700e+02	9.22446e-28	8.21700e+02	9.22446e-28	8.21700e+02	8.37625e-24
		8.22050e+02	7.68254e-24	8.22050e+02	4.90860e-26	8.22050e+02	8.67341e-28	8.22050e+02	8.67341e-28	8.22050e+02	7.68254e-24
		8.22400e+02	7.32939e-24	8.22400e+02	9.83943e-26	8.22400e+02	8.48276e-28	8.22400e+02	8.48276e-28	8.22400e+02	7.32939e-24
		8.22750e+02	6.62238e-24	8.22750e+02	4.65270e-26	8.22750e+02	7.85704e-28	8.22750e+02	7.85704e-28	8.22750e+02	6.62238e-24
		8.23100e+02	5.58411e-24	8.23100e+02	-3.60840e-26	8.23100e+02	6.79148e-28	8.23100e+02	6.79148e-28	8.23100e+02	5.58411e-24
		8.23450e+02	4.59273e-24	8.23450e+02	-3.52029e-26	8.23450e+02	5.72584e-28	8.23450e+02	5.72584e-28	8.23450e+02	4.59273e-24
		8.23800e+02	4.07025e-24	8.23800e+02	4.93666e-26	8.23800e+02	5.20160e-28	8.23800e+02	5.20160e-28	8.23800e+02	4.07025e-24
		8.24150e+02	4.87454e-24	8.24150e+02	1.02858e-25	8.24150e+02	6.38540e-28	8.24150e+02	6.38540e-28	8.24150e+02	4.87454e-24
		8.24500e+02	6.52245e-24	8.24500e+02	5.31998e-26	8.24500e+02	8.75780e-28	8.24500e+02	8.75780e-28	8.24500e+02	6.52245e-24
		8.24850e+02	7.82926e-24	8.24850e+02	-2.97797e-26	8.24850e+02	1.07752e-27	8.24850e+02	1.07752e-27	8.24850e+02	7.82926e-24
		8.25200e+02	8.39099e-24	8.25200e+02	-3.03134e-26	8.25200e+02	1.18367e-27	8.25200e+02	1.18367e-27	8.25200e+02	8.39099e-24
		8.25550e+02	8.33804e-24	8.25550e+02	5.40208e-26	8.25550e+02	1.20554e-27	8.25550e+02	1.20554e-27	8.25550e+02	8.33804e-24
		8.25900e+02	7.89279e-24	8.25900e+02	1.08837e-25	8.25900e+02	1.16961e-27	8.25900e+02	1.16961e-27	8.25900e+02	7.89279e-24
		8.26250e+02	7.55267e-24	8.26250e+02	5.97468e-26	8.26250e+02	1.14709e-27	8.26250e+02	1.14709e-27	8.26250e+02	7.55267e-24
