# wavelength in nm, signal in a.u.
9.4060e+02,1.4646e-06
9.4080e+02,1.4368e-06
9.4100e+02,1.4147e-06
9.4120e+02,1.3923e-06
9.4140e+02,1.3856e-06
9.4160e+02,1.3930e-06
9.4180e+02,1.4100e-06
9.4200e+02,1.4291e-06
9.4220e+02,1.4706e-06
9.4240e+02,1.5285e-06
9.4260e+02,1.5897e-06
9.4280e+02,1.6596e-06
9.4300e+02,1.7492e-06
9.4320e+02,1.8409e-06
9.4340e+02,1.9242e-06
9.4360e+02,2.0139e-06
9.4380e+02,2.1092e-06
9.4400e+02,2.1892e-06
9.4420e+02,2.2567e-06
9.4440e+02,2.3297e-06
9.4460e+02,2.4063e-06
9.4480e+02,2.4638e-06
9.4500e+02,2.5140e-06
9.4520e+02,2.5849e-06
9.4540e+02,2.6428e-06
9.4560e+02,2.6909e-06
9.4580e+02,2.7378e-06
9.4600e+02,2.7967e-06
9.4620e+02,2.8415e-06
9.4640e+02,2.8723e-06
9.4660e+02,2.9264e-06
9.4680e+02,2.9880e-06
9.4700e+02,3.0218e-06
9.4720e+02,3.0496e-06
9.4740e+02,3.0957e-06
9.4760e+02,3.1258e-06
9.4780e+02,3.1322e-06
9.4800e+02,3.1533e-06
9.4820e+02,3.1783e-06
9.4840e+02,3.1850e-06
9.4860e+02,3.1773e-06
9.4880e+02,3.1931e-06
9.4900e+02,3.2138e-06
9.4920e+02,3.2208e-06
9.4940e+02,3.2215e-06
9.4960e+02,3.2443e-06
9.4980e+02,3.2529e-06
9.5000e+02,3.2596e-06
9.5020e+02,3.2794e-06
9.5040e+02,3.3053e-06
9.5060e+02,3.3025e-06
9.5080e+02,3.3107e-06
9.5100e+02,3.3281e-06
9.5120e+02,3.3436e-06
9.5140e+02,3.3351e-06
9.5160e+02,3.3352e-06
9.5180e+02,3.3553e-06
9.5200e+02,3.3553e-06
9.5220e+02,3.3603e-06
9.5240e+02,3.3837e-06
9.5260e+02,3.4139e-06
9.5280e+02,3.4172e-06
9.5300e+02,3.4289e-06
9.5320e+02,3.4507e-06
9.5340e+02,3.4707e-06
9.5360e+02,3.4640e-06
9.5380e+02,3.4791e-06
9.5400e+02,3.5042e-06
9.5420e+02,3.4941e-06
9.5440e+02,3.4824e-06
9.5460e+02,3.4875e-06
9.5480e+02,3.4925e-06
9.5500e+02,3.4674e-06
9.5520e+02,3.4590e-06
9.5540e+02,3.4557e-06
9.5560e+02,3.4490e-06
9.5580e+02,3.4272e-06
9.5600e+02,3.4289e-06
9.5620e+02,3.4406e-06
9.5640e+02,3.4323e-06
9.5660e+02,3.4239e-06
9.5680e+02,3.4289e-06
9.5700e+02,3.4423e-06
9.5720e+02,3.4306e-06
9.5740e+02,3.4289e-06
9.5760e+02,3.4373e-06
9.5780e+02,3.4373e-06
9.5800e+02,3.4139e-06
9.5820e+02,3.4189e-06
9.5840e+02,3.4172e-06
9.5860e+02,3.4072e-06
9.5880e+02,3.3971e-06
9.5900e+02,3.4072e-06
9.5920e+02,3.4205e-06
9.5940e+02,3.4122e-06
9.5960e+02,3.4289e-06
9.5980e+02,3.4540e-06
9.6000e+02,3.4724e-06
9.6020e+02,3.4707e-06
9.6040e+02,3.4941e-06
9.6060e+02,3.5159e-06
9.6080e+02,3.5176e-06
9.6100e+02,3.5309e-06
9.6120e+02,3.5594e-06
9.6140e+02,3.5895e-06
9.6160e+02,3.5828e-06
9.6180e+02,3.5962e-06
9.6200e+02,3.6179e-06
9.6220e+02,3.6196e-06
9.6240e+02,3.6029e-06
9.6260e+02,3.6162e-06
9.6280e+02,3.6229e-06
9.6300e+02,3.6096e-06
9.6320e+02,3.5895e-06
9.6340e+02,3.5928e-06
9.6360e+02,3.5945e-06
9.6380e+02,3.5694e-06
9.6400e+02,3.5594e-06
9.6420e+02,3.5527e-06
9.6440e+02,3.5376e-06
9.6460e+02,3.5075e-06
9.6480e+02,3.5059e-06
9.6500e+02,3.4925e-06
9.6520e+02,3.4607e-06
9.6540e+02,3.4205e-06
9.6560e+02,3.4021e-06
9.6580e+02,3.3654e-06
9.6600e+02,3.3028e-06
9.6620e+02,3.2616e-06
9.6640e+02,3.2188e-06
9.6660e+02,3.1524e-06
9.6680e+02,3.0584e-06
9.6700e+02,2.9750e-06
9.6720e+02,2.8743e-06
9.6740e+02,2.7476e-06
9.6760e+02,2.5971e-06
9.6780e+02,2.4524e-06
9.6800e+02,2.2741e-06
9.6820e+02,2.0706e-06
9.6840e+02,1.8886e-06
9.6860e+02,1.7123e-06
9.6880e+02,1.5661e-06
9.6900e+02,1.4631e-06
9.6920e+02,1.4420e-06
9.6940e+02,1.4918e-06
9.6960e+02,1.6059e-06
9.6980e+02,1.7799e-06
9.7000e+02,2.0053e-06
9.7020e+02,2.2443e-06
9.7040e+02,2.4456e-06
9.7060e+02,2.6754e-06
9.7080e+02,2.8794e-06
9.7100e+02,3.0355e-06
9.7120e+02,3.1757e-06
9.7140e+02,3.3107e-06
9.7160e+02,3.4122e-06
9.7180e+02,3.4908e-06
9.7200e+02,3.5644e-06
