# wavelength in nm, signal in a.u.
8.6140e+02,1.2940e-09
8.6160e+02,2.8110e-09
8.6180e+02,6.0370e-10
8.6200e+02,1.0510e-09
8.6220e+02,2.3852e-19
8.6240e+02,3.3840e-09
8.6260e+02,3.1847e-21
8.6280e+02,4.4820e-11
8.6300e+02,0.0000e+00
8.6320e+02,5.1604e-20
8.6340e+02,7.2050e-10
8.6360e+02,2.4770e-10
8.6380e+02,2.4540e-09
8.6400e+02,3.5650e-09
8.6420e+02,2.3690e-09
8.6440e+02,6.1368e-20
8.6460e+02,8.3690e-10
8.6480e+02,2.4650e-09
8.6500e+02,4.0810e-10
8.6520e+02,2.9470e-10
8.6540e+02,1.5420e-09
8.6560e+02,1.0998e-19
8.6580e+02,1.4770e-09
8.6600e+02,4.3270e-10
8.6620e+02,7.0066e-20
8.6640e+02,9.3380e-10
8.6660e+02,7.9900e-10
8.6680e+02,2.2830e-11
8.6700e+02,4.1090e-09
8.6720e+02,1.8300e-10
8.6740e+02,3.3630e-09
8.6760e+02,1.1240e-09
8.6780e+02,3.4400e-09
8.6800e+02,3.4400e-10
8.6820e+02,2.5970e-09
8.6840e+02,1.9080e-09
8.6860e+02,4.3900e-09
8.6880e+02,2.0500e-09
8.6900e+02,3.5480e-09
8.6920e+02,7.3890e-10
8.6940e+02,3.7870e-09
8.6960e+02,2.2860e-09
8.6980e+02,1.9670e-09
8.7000e+02,2.6390e-09
8.7020e+02,5.8000e-10
8.7040e+02,4.6500e-11
8.7060e+02,3.6970e-09
8.7080e+02,2.4700e-09
8.7100e+02,3.7750e-09
8.7120e+02,3.9010e-09
8.7140e+02,9.5990e-10
8.7160e+02,2.2703e-19
8.7180e+02,2.7930e-09
8.7200e+02,3.8490e-09
8.7220e+02,3.5050e-09
8.7240e+02,1.2970e-09
8.7260e+02,4.0310e-09
8.7280e+02,1.3000e-09
8.7300e+02,1.3230e-09
8.7320e+02,4.6890e-09
8.7340e+02,4.1310e-09
8.7360e+02,3.8220e-09
8.7380e+02,2.7120e-09
8.7400e+02,2.3080e-09
8.7420e+02,5.0080e-09
8.7440e+02,3.3460e-09
8.7460e+02,3.3460e-09
8.7480e+02,1.5570e-09
8.7500e+02,2.1320e-09
8.7520e+02,2.4730e-09
8.7540e+02,1.3240e-09
8.7560e+02,2.5750e-09
8.7580e+02,8.2750e-09
8.7600e+02,5.9350e-09
8.7620e+02,4.0860e-09
8.7640e+02,4.9930e-09
8.7660e+02,7.1740e-09
8.7680e+02,4.3000e-09
8.7700e+02,4.2270e-09
8.7720e+02,5.7950e-09
8.7740e+02,5.1000e-09
8.7760e+02,4.2460e-09
8.7780e+02,6.4570e-09
8.7800e+02,5.8700e-09
8.7820e+02,8.7770e-09
8.7840e+02,4.5950e-09
8.7860e+02,5.8240e-09
8.7880e+02,5.1230e-09
8.7900e+02,6.2560e-09
8.7920e+02,5.6040e-09
8.7940e+02,7.3490e-09
8.7960e+02,8.8090e-09
