# wavelength in nm, signal in a.u.
8.7960e+02,4.2880e-06
8.7980e+02,4.2960e-06
8.8000e+02,4.2940e-06
8.8020e+02,4.2930e-06
8.8040e+02,4.2740e-06
8.8060e+02,4.2550e-06
8.8080e+02,4.2630e-06
8.8100e+02,4.2610e-06
8.8120e+02,4.2640e-06
8.8140e+02,4.2670e-06
8.8160e+02,4.2640e-06
8.8180e+02,4.2730e-06
8.8200e+02,4.2790e-06
8.8220e+02,4.2940e-06
8.8240e+02,4.3010e-06
8.8260e+02,4.3060e-06
8.8280e+02,4.2940e-06
8.8300e+02,4.2820e-06
8.8320e+02,4.2760e-06
8.8340e+02,4.2730e-06
8.8360e+02,4.2840e-06
8.8380e+02,4.2890e-06
8.8400e+02,4.2980e-06
8.8420e+02,4.2960e-06
8.8440e+02,4.2940e-06
8.8460e+02,4.3040e-06
8.8480e+02,4.3000e-06
8.8500e+02,4.3070e-06
8.8520e+02,4.2820e-06
8.8540e+02,4.2730e-06
8.8560e+02,4.2700e-06
8.8580e+02,4.2750e-06
8.8600e+02,4.2830e-06
8.8620e+02,4.2690e-06
8.8640e+02,4.2670e-06
8.8660e+02,4.2650e-06
8.8680e+02,4.2720e-06
8.8700e+02,4.2900e-06
8.8720e+02,4.2890e-06
8.8740e+02,4.2960e-06
8.8760e+02,4.2990e-06
8.8780e+02,4.3100e-06
8.8800e+02,4.3000e-06
8.8820e+02,4.2880e-06
8.8840e+02,4.2870e-06
8.8860e+02,4.2830e-06
8.8880e+02,4.2910e-06
8.8900e+02,4.2960e-06
8.8920e+02,4.2950e-06
8.8940e+02,4.3110e-06
8.8960e+02,4.3210e-06
8.8980e+02,4.3290e-06
8.9000e+02,4.3270e-06
8.9020e+02,4.3330e-06
8.9040e+02,4.3240e-06
8.9060e+02,4.3180e-06
8.9080e+02,4.2990e-06
8.9100e+02,4.2930e-06
8.9120e+02,4.2770e-06
8.9140e+02,4.2660e-06
8.9160e+02,4.2640e-06
8.9180e+02,4.2670e-06
8.9200e+02,4.2650e-06
8.9220e+02,4.2690e-06
8.9240e+02,4.2620e-06
8.9260e+02,4.2680e-06
8.9280e+02,4.2770e-06
8.9300e+02,4.2750e-06
8.9320e+02,4.2720e-06
8.9340e+02,4.2690e-06
8.9360e+02,4.2640e-06
8.9380e+02,4.2670e-06
8.9400e+02,4.2680e-06
8.9420e+02,4.2690e-06
8.9440e+02,4.2740e-06
8.9460e+02,4.2740e-06
8.9480e+02,4.2610e-06
8.9500e+02,4.2680e-06
8.9520e+02,4.2750e-06
8.9540e+02,4.2810e-06
8.9560e+02,4.2770e-06
8.9580e+02,4.2690e-06
8.9600e+02,4.2650e-06
8.9620e+02,4.2670e-06
8.9640e+02,4.2720e-06
8.9660e+02,4.2780e-06
8.9680e+02,4.2820e-06
8.9700e+02,4.2820e-06
8.9720e+02,4.2820e-06
8.9740e+02,4.2860e-06
8.9760e+02,4.2870e-06
8.9780e+02,4.2890e-06
8.9800e+02,4.2960e-06
8.9820e+02,4.2940e-06
8.9840e+02,4.2970e-06
8.9860e+02,4.2900e-06
8.9880e+02,4.2790e-06
8.9900e+02,4.2750e-06
8.9920e+02,4.2750e-06
8.9940e+02,4.2760e-06
8.9960e+02,4.2880e-06
8.9980e+02,4.2840e-06
9.0000e+02,4.2830e-06
9.0020e+02,4.2830e-06
9.0040e+02,4.2780e-06
9.0060e+02,4.2700e-06
9.0080e+02,4.2790e-06
9.0100e+02,4.2850e-06
9.0120e+02,4.3000e-06
9.0140e+02,4.3210e-06
9.0160e+02,4.3160e-06
9.0180e+02,4.3170e-06
9.0200e+02,4.3090e-06
9.0220e+02,4.2860e-06
9.0240e+02,4.2780e-06
9.0260e+02,4.2610e-06
9.0280e+02,4.2450e-06
9.0300e+02,4.2370e-06
9.0320e+02,4.2330e-06
9.0340e+02,4.2400e-06
9.0360e+02,4.2590e-06
9.0380e+02,4.2640e-06
9.0400e+02,4.2580e-06
9.0420e+02,4.2600e-06
9.0440e+02,4.2530e-06
9.0460e+02,4.2590e-06
9.0480e+02,4.2810e-06
9.0500e+02,4.2910e-06
9.0520e+02,4.2880e-06
9.0540e+02,4.2970e-06
9.0560e+02,4.2880e-06
9.0580e+02,4.2840e-06
9.0600e+02,4.2880e-06
9.0620e+02,4.2930e-06
9.0640e+02,4.2940e-06
9.0660e+02,4.3090e-06
9.0680e+02,4.3070e-06
9.0700e+02,4.2980e-06
9.0720e+02,4.2890e-06
9.0740e+02,4.2780e-06
9.0760e+02,4.2590e-06
9.0780e+02,4.2600e-06
9.0800e+02,4.2590e-06
9.0820e+02,4.2650e-06
9.0840e+02,4.2790e-06
9.0860e+02,4.2800e-06
9.0880e+02,4.2850e-06
9.0900e+02,4.3030e-06
9.0920e+02,4.2980e-06
9.0940e+02,4.2910e-06
9.0960e+02,4.2830e-06
9.0980e+02,4.2770e-06
9.1000e+02,4.2680e-06
9.1020e+02,4.2650e-06
9.1040e+02,4.2620e-06
9.1060e+02,4.2670e-06
9.1080e+02,4.2670e-06
9.1100e+02,4.2750e-06
9.1120e+02,4.2800e-06
9.1140e+02,4.2790e-06
9.1160e+02,4.2750e-06
9.1180e+02,4.2740e-06
9.1200e+02,4.2800e-06
9.1220e+02,4.2860e-06
9.1240e+02,4.2880e-06
9.1260e+02,4.2680e-06
9.1280e+02,4.2540e-06
9.1300e+02,4.2520e-06
9.1320e+02,4.2690e-06
9.1340e+02,4.2680e-06
