sigma_a_Yb:FP15_x	sigma_a_Yb:FP15_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.20650e+02	2.79401e-23	8.20650e+02	3.71384e-23	8.20650e+02	2.79390e-27	8.20650e+02	2.79390e-27	8.20650e+02	2.79401e-23
8.21000e+02	2.75704e-23	8.21000e+02	3.72762e-23	8.21000e+02	2.82768e-27	8.21000e+02	2.82768e-27	8.21000e+02	2.75704e-23
8.21350e+02	2.66610e-23	8.21350e+02	3.73186e-23	8.21350e+02	2.80452e-27	8.21350e+02	2.80452e-27	8.21350e+02	2.66610e-23
8.21700e+02	2.50188e-23	8.21700e+02	3.67633e-23	8.21700e+02	2.69919e-27	8.21700e+02	2.69919e-27	8.21700e+02	2.50188e-23
8.22050e+02	2.50170e-23	8.22050e+02	3.59908e-23	8.22050e+02	2.76809e-27	8.22050e+02	2.76809e-27	8.22050e+02	2.50170e-23
8.22400e+02	2.47558e-23	8.22400e+02	3.59898e-23	8.22400e+02	2.80924e-27	8.22400e+02	2.80924e-27	8.22400e+02	2.47558e-23
8.22750e+02	2.43796e-23	8.22750e+02	3.71493e-23	8.22750e+02	2.83725e-27	8.22750e+02	2.83725e-27	8.22750e+02	2.43796e-23
8.23100e+02	2.45206e-23	8.23100e+02	3.86344e-23	8.23100e+02	2.92650e-27	8.23100e+02	2.92650e-27	8.23100e+02	2.45206e-23
8.23450e+02	2.58608e-23	8.23450e+02	3.92206e-23	8.23450e+02	3.16519e-27	8.23450e+02	3.16519e-27	8.23450e+02	2.58608e-23
8.23800e+02	2.80449e-23	8.23800e+02	3.86308e-23	8.23800e+02	3.52000e-27	8.23800e+02	3.52000e-27	8.23800e+02	2.80449e-23
8.24150e+02	2.83762e-23	8.24150e+02	3.77639e-23	8.24150e+02	3.65227e-27	8.24150e+02	3.65227e-27	8.24150e+02	2.83762e-23
8.24500e+02	2.85023e-23	8.24500e+02	3.75831e-23	8.24500e+02	3.76183e-27	8.24500e+02	3.76183e-27	8.24500e+02	2.85023e-23
8.24850e+02	2.91725e-23	8.24850e+02	3.80674e-23	8.24850e+02	3.94816e-27	8.24850e+02	3.94816e-27	8.24850e+02	2.91725e-23
8.25200e+02	3.18517e-23	8.25200e+02	3.84579e-23	8.25200e+02	4.42026e-27	8.25200e+02	4.42026e-27	8.25200e+02	3.18517e-23
8.25550e+02	3.39245e-23	8.25550e+02	3.83415e-23	8.25550e+02	4.82739e-27	8.25550e+02	4.82739e-27	8.25550e+02	3.39245e-23
8.25900e+02	3.67252e-23	8.25900e+02	3.81242e-23	8.25900e+02	5.35842e-27	8.25900e+02	5.35842e-27	8.25900e+02	3.67252e-23
8.26250e+02	3.97437e-23	8.26250e+02	3.83650e-23	8.26250e+02	5.94575e-27	8.26250e+02	5.94575e-27	8.26250e+02	3.97437e-23
8.26600e+02	4.13706e-23	8.26600e+02	3.89549e-23	8.26600e+02	6.34579e-27	8.26600e+02	6.34579e-27	8.26600e+02	4.13706e-23
8.26950e+02	4.16989e-23	8.26950e+02	3.92485e-23	8.26950e+02	6.55792e-27	8.26950e+02	6.55792e-27	8.26950e+02	4.16989e-23
8.27300e+02	4.09768e-23	8.27300e+02	3.89224e-23	8.27300e+02	6.60720e-27	8.27300e+02	6.60720e-27	8.27300e+02	4.09768e-23
8.27650e+02	4.08571e-23	8.27650e+02	3.83854e-23	8.27650e+02	6.75422e-27	8.27650e+02	6.75422e-27	8.27650e+02	4.08571e-23
8.28000e+02	4.15436e-23	8.28000e+02	3.82200e-23	8.28000e+02	7.04094e-27	8.28000e+02	7.04094e-27	8.28000e+02	4.15436e-23
8.28350e+02	4.21569e-23	8.28350e+02	3.84443e-23	8.28350e+02	7.32498e-27	8.28350e+02	7.32498e-27	8.28350e+02	4.21569e-23
8.28700e+02	4.32968e-23	8.28700e+02	3.85690e-23	8.28700e+02	7.71249e-27	8.28700e+02	7.71249e-27	8.28700e+02	4.32968e-23
8.29050e+02	4.53727e-23	8.29050e+02	3.83206e-23	8.29050e+02	8.28562e-27	8.29050e+02	8.28562e-27	8.29050e+02	4.53727e-23
8.29400e+02	4.62968e-23	8.29400e+02	3.80244e-23	8.29400e+02	8.66691e-27	8.29400e+02	8.66691e-27	8.29400e+02	4.62968e-23
8.29750e+02	4.70271e-23	8.29750e+02	3.81499e-23	8.29750e+02	9.02474e-27	8.29750e+02	9.02474e-27	8.29750e+02	4.70271e-23
8.30100e+02	4.85391e-23	8.30100e+02	3.86517e-23	8.30100e+02	9.54867e-27	8.30100e+02	9.54867e-27	8.30100e+02	4.85391e-23
8.30450e+02	5.18742e-23	8.30450e+02	3.89751e-23	8.30450e+02	1.04606e-26	8.30450e+02	1.04606e-26	8.30450e+02	5.18742e-23
8.30800e+02	5.32433e-23	8.30800e+02	3.86809e-23	8.30800e+02	1.10057e-26	8.30800e+02	1.10057e-26	8.30800e+02	5.32433e-23
8.31150e+02	5.30712e-23	8.31150e+02	3.78621e-23	8.31150e+02	1.12448e-26	8.31150e+02	1.12448e-26	8.31150e+02	5.30712e-23
8.31500e+02	5.22206e-23	8.31500e+02	3.68948e-23	8.31500e+02	1.13413e-26	8.31500e+02	1.13413e-26	8.31500e+02	5.22206e-23
8.31850e+02	5.39947e-23	8.31850e+02	3.59811e-23	8.31850e+02	1.20196e-26	8.31850e+02	1.20196e-26	8.31850e+02	5.39947e-23
8.32200e+02	5.63749e-23	8.32200e+02	3.51400e-23	8.32200e+02	1.28628e-26	8.32200e+02	1.28628e-26	8.32200e+02	5.63749e-23
8.32550e+02	5.80663e-23	8.32550e+02	3.45635e-23	8.32550e+02	1.35792e-26	8.32550e+02	1.35792e-26	8.32550e+02	5.80663e-23
8.32900e+02	6.19174e-23	8.32900e+02	3.46872e-23	8.32900e+02	1.48407e-26	8.32900e+02	1.48407e-26	8.32900e+02	6.19174e-23
8.33250e+02	6.72990e-23	8.33250e+02	3.57303e-23	8.33250e+02	1.65324e-26	8.33250e+02	1.65324e-26	8.33250e+02	6.72990e-23
8.33600e+02	7.11519e-23	8.33600e+02	3.72686e-23	8.33600e+02	1.79138e-26	8.33600e+02	1.79138e-26	8.33600e+02	7.11519e-23
8.33950e+02	7.18443e-23	8.33950e+02	3.84609e-23	8.33950e+02	1.85378e-26	8.33950e+02	1.85378e-26	8.33950e+02	7.18443e-23
8.34300e+02	7.09187e-23	8.34300e+02	3.87497e-23	8.34300e+02	1.87536e-26	8.34300e+02	1.87536e-26	8.34300e+02	7.09187e-23
8.34650e+02	6.97450e-23	8.34650e+02	3.82591e-23	8.34650e+02	1.89010e-26	8.34650e+02	1.89010e-26	8.34650e+02	6.97450e-23
8.35000e+02	6.98684e-23	8.35000e+02	3.75033e-23	8.35000e+02	1.94040e-26	8.35000e+02	1.94040e-26	8.35000e+02	6.98684e-23
8.35350e+02	6.85476e-23	8.35350e+02	3.68554e-23	8.35350e+02	1.95089e-26	8.35350e+02	1.95089e-26	8.35350e+02	6.85476e-23
8.35700e+02	6.65642e-23	8.35700e+02	3.64138e-23	8.35700e+02	1.94134e-26	8.35700e+02	1.94134e-26	8.35700e+02	6.65642e-23
8.36050e+02	6.53163e-23	8.36050e+02	3.62609e-23	8.36050e+02	1.95206e-26	8.36050e+02	1.95206e-26	8.36050e+02	6.53163e-23
8.36400e+02	6.36325e-23	8.36400e+02	3.65710e-23	8.36400e+02	1.94874e-26	8.36400e+02	1.94874e-26	8.36400e+02	6.36325e-23
8.36750e+02	6.07949e-23	8.36750e+02	3.73228e-23	8.36750e+02	1.90782e-26	8.36750e+02	1.90782e-26	8.36750e+02	6.07949e-23
8.37100e+02	5.98779e-23	8.37100e+02	3.80429e-23	8.37100e+02	1.92540e-26	8.37100e+02	1.92540e-26	8.37100e+02	5.98779e-23
8.37450e+02	6.15952e-23	8.37450e+02	3.80852e-23	8.37450e+02	2.02945e-26	8.37450e+02	2.02945e-26	8.37450e+02	6.15952e-23
8.37800e+02	6.43805e-23	8.37800e+02	3.72683e-23	8.37800e+02	2.17347e-26	8.37800e+02	2.17347e-26	8.37800e+02	6.43805e-23
8.38150e+02	6.81019e-23	8.38150e+02	3.61526e-23	8.38150e+02	2.35569e-26	8.38150e+02	2.35569e-26	8.38150e+02	6.81019e-23
8.38500e+02	7.06724e-23	8.38500e+02	3.55747e-23	8.38500e+02	2.50471e-26	8.38500e+02	2.50471e-26	8.38500e+02	7.06724e-23
8.38850e+02	7.13618e-23	8.38850e+02	3.58957e-23	8.38850e+02	2.59129e-26	8.38850e+02	2.59129e-26	8.38850e+02	7.13618e-23
8.39200e+02	7.23512e-23	8.39200e+02	3.67354e-23	8.39200e+02	2.69171e-26	8.39200e+02	2.69171e-26	8.39200e+02	7.23512e-23
8.39550e+02	7.34855e-23	8.39550e+02	3.74069e-23	8.39550e+02	2.80096e-26	8.39550e+02	2.80096e-26	8.39550e+02	7.34855e-23
8.39900e+02	7.51916e-23	8.39900e+02	3.75312e-23	8.39900e+02	2.93623e-26	8.39900e+02	2.93623e-26	8.39900e+02	7.51916e-23
8.40250e+02	7.55727e-23	8.40250e+02	3.72329e-23	8.40250e+02	3.02337e-26	8.40250e+02	3.02337e-26	8.40250e+02	7.55727e-23
8.40600e+02	7.57369e-23	8.40600e+02	3.68733e-23	8.40600e+02	3.10407e-26	8.40600e+02	3.10407e-26	8.40600e+02	7.57369e-23
8.40950e+02	7.74573e-23	8.40950e+02	3.67309e-23	8.40950e+02	3.25218e-26	8.40950e+02	3.25218e-26	8.40950e+02	7.74573e-23
8.41300e+02	7.88648e-23	8.41300e+02	3.69208e-23	8.41300e+02	3.39216e-26	8.41300e+02	3.39216e-26	8.41300e+02	7.88648e-23
8.41650e+02	7.83005e-23	8.41650e+02	3.74463e-23	8.41650e+02	3.45007e-26	8.41650e+02	3.45007e-26	8.41650e+02	7.83005e-23
8.42000e+02	7.64360e-23	8.42000e+02	3.81682e-23	8.42000e+02	3.45004e-26	8.42000e+02	3.45004e-26	8.42000e+02	7.64360e-23
8.42350e+02	7.42458e-23	8.42350e+02	3.87377e-23	8.42350e+02	3.43283e-26	8.42350e+02	3.43283e-26	8.42350e+02	7.42458e-23
8.42700e+02	7.08356e-23	8.42700e+02	3.87299e-23	8.42700e+02	3.35488e-26	8.42700e+02	3.35488e-26	8.42700e+02	7.08356e-23
8.43050e+02	6.62199e-23	8.43050e+02	3.80195e-23	8.43050e+02	3.21255e-26	8.43050e+02	3.21255e-26	8.43050e+02	6.62199e-23
8.43400e+02	6.00216e-23	8.43400e+02	3.70604e-23	8.43400e+02	2.98261e-26	8.43400e+02	2.98261e-26	8.43400e+02	6.00216e-23
8.43750e+02	5.66055e-23	8.43750e+02	3.66706e-23	8.43750e+02	2.88116e-26	8.43750e+02	2.88116e-26	8.43750e+02	5.66055e-23
8.44100e+02	5.84051e-23	8.44100e+02	3.73564e-23	8.44100e+02	3.04488e-26	8.44100e+02	3.04488e-26	8.44100e+02	5.84051e-23
8.44450e+02	6.21433e-23	8.44450e+02	3.87423e-23	8.44450e+02	3.31829e-26	8.44450e+02	3.31829e-26	8.44450e+02	6.21433e-23
8.44800e+02	6.64472e-23	8.44800e+02	3.97239e-23	8.44800e+02	3.63405e-26	8.44800e+02	3.63405e-26	8.44800e+02	6.64472e-23
8.45150e+02	7.05273e-23	8.45150e+02	3.93623e-23	8.45150e+02	3.95053e-26	8.45150e+02	3.95053e-26	8.45150e+02	7.05273e-23
8.45500e+02	7.18448e-23	8.45500e+02	3.77848e-23	8.45500e+02	4.12164e-26	8.45500e+02	4.12164e-26	8.45500e+02	7.18448e-23
